User ID,Traveler name,Traveler age,Traveler gender,Traveler nationality,Profile Type,Climate Pref,Primary Dest Type,Acc Pref,Transport Core Modes,Traveler Continent
U0123,Hana,50,Female,Egyptian,Urbain/Luxe/Shopping,Temperate,City,Airbnb,Scooter;Voiture (si isolé);Bateau,Africa
U0124,Anil,42,Male,Indian,Culturel/Histoire,Temperate,City,Villa,Transports Publics;Bus;Métro,Asia
U0125,Ngozi,30,Female,Nigerian,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Bateau;Randonnée;Scooter,Africa
U0126,Yoo-Jin,30,Female,South Korean,Culturel/Histoire,Temperate,City,Villa,Voiture;Bus;4x4,Asia
U0127,Paulina,64,Female,Mexican,Froid/Ski/Nordique,Cold,Adventure/Nature,Guesthouse,Bus;Vélo;Voiture (si isolé),North America
U0128,Heidi,50,Female,German,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Scooter;Transports Publics;Bateau,Europe
U0129,Abdullah,40,Male,Saudi,Urbain/Luxe/Shopping,Temperate,City,Hotel,Taxi;4x4;Tuk-Tuk,Asia
U0130,Quỳnh,45,Female,Vietnamese,Culturel/Histoire,Temperate,City,Airbnb,Bateau;Voiture;Transports Publics,Asia
U0131,Sebastián,23,Male,Colombian,Culturel/Histoire,Temperate,City,Villa,Scooter;Voiture;Tuk-Tuk,South America
U0132,Anil,65,Male,Indian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hostel,Taxi;Métro;4x4,Asia
U0133,Sara,58,Female,Spanish,Exotique/Budget,Hot,Cultural/Nature,Hotel,Randonnée;Voiture;Tuk-Tuk,Europe
U0134,Charlotte,52,Female,American,Urbain/Luxe/Shopping,Temperate,City,Hotel,Bus;Métro;Tuk-Tuk,North America
U0135,Hana,49,Female,Egyptian,Plage/Détente,Hot,Beach,Guesthouse,Taxi;4x4;Bateau,Africa
U0136,Aisha,31,Female,Nigerian,Plage/Détente,Hot,Beach,Guesthouse,Vélo;Voiture;Randonnée,Africa
U0137,Lucas,62,Male,Brazilian,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Vélo;Voiture;4x4,South America
U0138,Turki,43,Male,Saudi,Exotique/Budget,Hot,Cultural/Nature,Hotel,Voiture (si isolé);Vélo;Transports Publics,Asia
U0139,Khaya,27,Male,South African,Culturel/Histoire,Temperate,City,Villa,Voiture (si isolé);Bateau;Randonnée,Africa
U0140,Jessica,45,Female,American,Urbain/Luxe/Shopping,Temperate,City,Villa,Bateau;Tuk-Tuk;Transports Publics,North America
U0141,Sara,21,Female,Spanish,Culturel/Histoire,Temperate,City,Villa,Transports Publics;Vélo;Scooter,Europe
U0142,Obi,56,Male,Nigerian,Culturel/Histoire,Temperate,City,Villa,Voiture;Marche;Tuk-Tuk,Africa
U0143,Aisha,44,Female,Egyptian,Froid/Ski/Nordique,Cold,Adventure/Nature,Guesthouse,Bus;4x4;Transports Publics,Africa
U0144,Javier,60,Male,Spanish,Urbain/Luxe/Shopping,Temperate,City,Hotel,Tuk-Tuk;Marche;Métro,Europe
U0145,Zainab,51,Female,Nigerian,Plage/Détente,Hot,Beach,Guesthouse,Bateau;Vélo;Bus,Africa
U0146,Khaya,22,Male,South African,Froid/Ski/Nordique,Cold,Adventure/Nature,Airbnb,Scooter;Bus;Vélo,Africa
U0147,Abdullah,39,Male,Saudi,Exotique/Budget,Hot,Cultural/Nature,Villa,Scooter;Transports Publics;Voiture,Asia
U0148,Minh,28,Male,Vietnamese,Exotique/Budget,Hot,Cultural/Nature,Airbnb,Voiture (si isolé);Métro;Randonnée,Asia
U0149,Samuel,31,Male,Colombian,Urbain/Luxe/Shopping,Temperate,City,Villa,4x4;Voiture (si isolé);Transports Publics,South America
U0150,Erik,38,Male,Swedish,Froid/Ski/Nordique,Cold,Adventure/Nature,Hostel,Scooter;Transports Publics;Taxi,Europe
U0151,Rina,57,Female,Japanese,Culturel/Histoire,Temperate,City,Hotel,Marche;Randonnée;Voiture,Asia
U0152,Amr,25,Male,Egyptian,Exotique/Budget,Hot,Cultural/Nature,Guesthouse,Transports Publics;Voiture;Taxi,Africa
U0153,Noah,51,Male,Canadian,Plage/Détente,Hot,Beach,Hotel,Taxi;Marche;Transports Publics,North America
U0154,Dania,24,Female,Saudi,Plage/Détente,Hot,Beach,Airbnb,Bus;Marche;4x4,Asia
U0155,Lorenzo,31,Male,Italian,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Métro;Vélo;Tuk-Tuk,Europe
U0156,Aoi,64,Female,Japanese,Culturel/Histoire,Temperate,City,Villa,Bateau;Randonnée;Voiture (si isolé),Asia
U0157,Ella,53,Female,Australian,Plage/Détente,Hot,Beach,Hotel,Scooter;Tuk-Tuk;Voiture,Oceania
U0158,Javier,53,Male,Mexican,Urbain/Luxe/Shopping,Temperate,City,Hotel,Taxi;Voiture;4x4,North America
U0159,Liam,23,Male,Australian,Plage/Détente,Hot,Beach,Hostel,Scooter;Voiture;Randonnée,Oceania
U0160,Carl,57,Male,Swedish,Plage/Détente,Hot,Beach,Villa,Tuk-Tuk;Bateau;Voiture (si isolé),Europe
U0161,Juan,65,Male,Colombian,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Voiture (si isolé);4x4;Marche,South America
U0162,Min-Jun,25,Male,South Korean,Exotique/Budget,Hot,Cultural/Nature,Hostel,Taxi;Tuk-Tuk;Voiture,Asia
U0163,Sana,24,Female,Japanese,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Voiture (si isolé);Scooter;Métro,Asia
U0164,Yulia,41,Female,Russian,Plage/Détente,Hot,Beach,Guesthouse,4x4;Tuk-Tuk;Métro,Europe
U0165,Ye-Eun,62,Female,South Korean,Exotique/Budget,Hot,Cultural/Nature,Villa,Bus;Bateau;Randonnée,Asia
U0166,James,22,Male,American,Plage/Détente,Hot,Beach,Hostel,Voiture (si isolé);Scooter;Randonnée,North America
U0167,Greta,28,Female,Italian,Froid/Ski/Nordique,Cold,Adventure/Nature,Villa,Transports Publics;Scooter;Taxi,Europe
U0168,Miyu,28,Female,Japanese,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Métro;4x4;Transports Publics,Asia
U0169,Natalia,55,Female,Mexican,Exotique/Budget,Hot,Cultural/Nature,Hostel,4x4;Randonnée;Vélo,North America
U0170,Yui,68,Female,Japanese,Exotique/Budget,Hot,Cultural/Nature,Villa,Métro;Bus;Voiture,Asia
U0171,Owen,60,Male,Canadian,Culturel/Histoire,Temperate,City,Guesthouse,Marche;Vélo;Taxi,North America
U0172,Hana,45,Female,Japanese,Exotique/Budget,Hot,Cultural/Nature,Hostel,Marche;Voiture (si isolé);Bateau,Asia
U0173,Sara,58,Female,Swedish,Culturel/Histoire,Temperate,City,Hostel,Transports Publics;Bateau;Tuk-Tuk,Europe
U0174,David,32,Male,Mexican,Aventure/Nature,Temperate,Adventure/Nature,Villa,Tuk-Tuk;Scooter;Métro,North America
U0175,Ngozi,28,Female,Nigerian,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Métro;Randonnée;Bus,Africa
U0176,Nikita,35,Male,Russian,Aventure/Nature,Temperate,Adventure/Nature,Villa,Tuk-Tuk;Vélo;Voiture,Europe
U0177,Pablo,65,Male,Spanish,Plage/Détente,Hot,Beach,Hotel,Métro;Tuk-Tuk;Transports Publics,Europe
U0178,Zainab,52,Female,Nigerian,Plage/Détente,Hot,Beach,Hostel,Bateau;Scooter;Bus,Africa
U0179,Mariana,22,Female,Colombian,Exotique/Budget,Hot,Cultural/Nature,Airbnb,Bus;Scooter;Voiture (si isolé),South America
U0180,Alexander,41,Male,Canadian,Urbain/Luxe/Shopping,Temperate,City,Hostel,Vélo;Randonnée;Bateau,North America
U0181,Gabriele,34,Male,Italian,Froid/Ski/Nordique,Cold,Adventure/Nature,Villa,Taxi;Tuk-Tuk;Vélo,Europe
U0182,Lucas,37,Male,Swedish,Urbain/Luxe/Shopping,Temperate,City,Villa,Marche;Randonnée;Vélo,Europe
U0183,Ha-Joon,57,Male,South Korean,Plage/Détente,Hot,Beach,Hotel,Bateau;Taxi;Marche,Asia
U0184,Ricardo,30,Male,Mexican,Froid/Ski/Nordique,Cold,Adventure/Nature,Guesthouse,Métro;Tuk-Tuk;Vélo,North America
U0185,Ngozi,33,Female,Nigerian,Plage/Détente,Hot,Beach,Airbnb,Tuk-Tuk;Bateau;4x4,Africa
U0186,Aisha,23,Female,Egyptian,Aventure/Nature,Temperate,Adventure/Nature,Airbnb,4x4;Scooter;Marche,Africa
U0187,Ji-Hoon,18,Male,South Korean,Culturel/Histoire,Temperate,City,Hostel,4x4;Métro;Taxi,Asia
U0188,Deepa,41,Female,Indian,Culturel/Histoire,Temperate,City,Airbnb,Taxi;Tuk-Tuk;Randonnée,Asia
U0189,Aisha,34,Female,Indian,Exotique/Budget,Hot,Cultural/Nature,Guesthouse,Marche;4x4;Voiture,Asia
U0190,Valeria,42,Female,Colombian,Culturel/Histoire,Temperate,City,Airbnb,Voiture;Bateau;Randonnée,South America
U0191,Giorgia,32,Female,Italian,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Bateau;4x4;Scooter,Europe
U0192,Zanele,69,Female,South African,Culturel/Histoire,Temperate,City,Airbnb,Voiture;Bus;Transports Publics,Africa
U0193,Charlotte,47,Female,Canadian,Plage/Détente,Hot,Beach,Airbnb,Vélo;Voiture (si isolé);Marche,North America
U0194,Alice,30,Female,Italian,Urbain/Luxe/Shopping,Temperate,City,Villa,Bus;Transports Publics;Voiture (si isolé),Europe
U0195,María,22,Female,Mexican,Froid/Ski/Nordique,Cold,Adventure/Nature,Villa,Tuk-Tuk;Bateau;Randonnée,North America
U0196,Aurora,69,Female,Italian,Culturel/Histoire,Temperate,City,Hostel,Bateau;Bus;Voiture (si isolé),Europe
U0197,Hana,39,Female,Egyptian,Plage/Détente,Hot,Beach,Guesthouse,Voiture;Bus;Transports Publics,Africa
U0198,Isabella,67,Female,Canadian,Aventure/Nature,Temperate,Adventure/Nature,Hotel,Tuk-Tuk;Scooter;Voiture (si isolé),North America
U0199,Gustav,25,Male,Swedish,Exotique/Budget,Hot,Cultural/Nature,Hotel,Vélo;Bateau;Tuk-Tuk,Europe
U0200,Miyu,38,Female,Japanese,Culturel/Histoire,Temperate,City,Hotel,Voiture (si isolé);Bus;Bateau,Asia
U0201,Emily,47,Female,American,Exotique/Budget,Hot,Cultural/Nature,Hotel,Scooter;Voiture;Taxi,North America
U0202,Pedro,46,Male,Brazilian,Urbain/Luxe/Shopping,Temperate,City,Villa,Marche;Métro;Voiture (si isolé),South America
U0203,Hyun-Woo,63,Male,South Korean,Exotique/Budget,Hot,Cultural/Nature,Hotel,Vélo;Randonnée;Bateau,Asia
U0204,Ha-Joon,35,Male,South Korean,Urbain/Luxe/Shopping,Temperate,City,Hostel,Scooter;Bus;4x4,Asia
U0205,Đức,62,Male,Vietnamese,Aventure/Nature,Temperate,Adventure/Nature,Hostel,Scooter;4x4;Marche,Asia
U0206,Nkosi,61,Male,South African,Exotique/Budget,Hot,Cultural/Nature,Hotel,Vélo;Voiture;Randonnée,Africa
U0207,Khaya,69,Male,South African,Plage/Détente,Hot,Beach,Guesthouse,Bateau;Marche;Scooter,Africa
U0208,Alice,68,Female,Brazilian,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Tuk-Tuk;Bateau;Transports Publics,South America
U0209,Đức,20,Male,Vietnamese,Aventure/Nature,Temperate,Adventure/Nature,Villa,Randonnée;Transports Publics;Voiture (si isolé),Asia
