Trip ID,User ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Average Daily Cost,Total cost,Local Transport Mode
T00028,U0005,"Himeji, Japan",2018-11-10,2018-11-21,12,Riccardo,61,Male,Italian,Airbnb,912.66,1133.13,2045.79,Vélo
T00029,U0005,"Giza, Egypt",2024-06-25,2024-07-01,7,Riccardo,61,Male,Italian,Hostel,126.54,328.56,455.1,Vélo
T00030,U0005,"Himeji, Japan",2020-09-18,2020-09-25,8,Riccardo,61,Male,Italian,Hotel,1065.29,697.3,1762.59,Vélo
T00031,U0006,"Patagonia, Argentina",2022-06-22,2022-07-05,14,Mostafa,33,Male,Egyptian,Airbnb,1128.46,1265.93,2394.39,Bus
T00032,U0006,"Kruger NP, South Africa",2025-02-01,2025-02-15,15,Mostafa,33,Male,Egyptian,Hostel,876.85,2780.59,3657.44,Bateau
T00033,U0006,"London, UK",2021-02-14,2021-02-20,7,Mostafa,33,Male,Egyptian,Guesthouse,724.39,1351.39,2075.78,4x4
T00034,U0006,"San Francisco, USA",2019-02-14,2019-02-16,3,Mostafa,33,Male,Egyptian,Hostel,160.29,523.18,683.47,Vélo
T00035,U0006,"Patagonia, Argentina",2024-08-11,2024-08-23,13,Mostafa,33,Male,Egyptian,Hotel,1581.44,1190.45,2771.89,Transports Publics
T00036,U0006,"Boston, USA",2021-04-07,2021-04-12,6,Mostafa,33,Male,Egyptian,Hotel,1109.98,1160.5,2270.48,Scooter
T00037,U0006,"San Diego, USA",2023-05-05,2023-05-10,6,Mostafa,33,Male,Egyptian,Hotel,1261.67,988.62,2250.29,4x4
T00038,U0007,"Dubai, UAE",2025-12-27,2025-12-30,4,Saud,43,Male,Saudi,Hostel,232.4,682.18,914.58,Randonnée
T00039,U0007,"Miami, USA",2025-10-10,2025-10-15,6,Saud,43,Male,Saudi,Guesthouse,546.32,1146.93,1693.25,Taxi
T00040,U0007,"Malé, Maldives",2021-07-22,2021-07-29,8,Saud,43,Male,Saudi,Guesthouse,631.13,1356.27,1987.4,Taxi
T00041,U0007,"Cancun, Mexico",2023-11-23,2023-12-01,9,Saud,43,Male,Saudi,Airbnb,697.5,831.86,1529.36,Bateau
T00042,U0007,"Malé, Maldives",2019-12-22,2019-12-30,9,Saud,43,Male,Saudi,Guesthouse,931.21,1651.93,2583.14,Taxi
T00043,U0007,"Cancun, Mexico",2020-10-21,2020-11-01,12,Saud,43,Male,Saudi,Villa,2729.07,1130.21,3859.28,Tuk-Tuk
T00044,U0008,"Patagonia, Argentina",2015-11-12,2015-11-21,10,Neha,23,Female,Indian,Hotel,1090.15,925.13,2015.28,Tuk-Tuk
T00045,U0008,"St Petersburg, Russia",2015-09-22,2015-09-26,5,Neha,23,Female,Indian,Hotel,513.67,491.01,1004.68,Tuk-Tuk
T00046,U0008,"Geneva, Switzerland",2018-01-24,2018-01-26,3,Neha,23,Female,Indian,Hotel,570.34,503.83,1074.17,Tuk-Tuk
T00047,U0008,"Copenhagen, Denmark",2015-05-01,2015-05-03,3,Neha,23,Female,Indian,Hotel,649.49,486.53,1136.02,Tuk-Tuk
T00048,U0008,"Moscow, Russia",2022-03-24,2022-03-29,6,Neha,23,Female,Indian,Hotel,780.36,553.34,1333.7,Scooter
T00049,U0008,"Banff, Canada",2024-10-03,2024-10-16,14,Neha,23,Female,Indian,Airbnb,1785.26,2674.59,4459.85,Tuk-Tuk
T00050,U0009,"Cusco, Peru",2021-09-26,2021-10-08,13,Sofia,40,Female,Brazilian,Hostel,509.84,1231.76,1741.6,Tuk-Tuk
T00051,U0009,"Seoul, South Korea",2016-12-18,2016-12-23,6,Sofia,40,Female,Brazilian,Airbnb,961.71,993.66,1955.37,4x4
T00052,U0009,"Himeji, Japan",2015-03-22,2015-04-03,13,Sofia,40,Female,Brazilian,Guesthouse,785.04,1239.11,2024.15,4x4
T00053,U0009,"Kraków, Poland",2016-01-19,2016-01-22,4,Sofia,40,Female,Brazilian,Hostel,87.48,185.41,272.89,Bateau
T00054,U0009,"San Diego, USA",2023-12-22,2023-12-24,3,Sofia,40,Female,Brazilian,Airbnb,443.83,507.35,951.18,Tuk-Tuk
T00055,U0010,"Los Angeles, USA",2020-05-06,2020-05-09,4,Ingrid,22,Female,German,Airbnb,631.72,738.55,1370.27,Randonnée
T00056,U0010,"Kruger NP, South Africa",2025-11-14,2025-11-23,10,Ingrid,22,Female,German,Hotel,1813.16,1854.68,3667.84,Métro
T00057,U0010,"New York, USA",2022-01-12,2022-01-15,4,Ingrid,22,Female,German,Hotel,714.97,746.66,1461.63,Marche
T00058,U0010,"New York, USA",2023-11-15,2023-11-18,4,Ingrid,22,Female,German,Hostel,192.69,648.13,840.82,Transports Publics
T00059,U0011,"Boston, USA",2020-09-25,2020-09-28,4,Emma,63,Female,Canadian,Hotel,816.86,764.18,1581.04,Randonnée
T00060,U0011,"Jeddah, Saudi Arabia",2015-12-10,2015-12-16,7,Emma,63,Female,Canadian,Hotel,1506.43,1353.52,2859.95,Métro
T00061,U0011,"Prague, Czech Republic",2025-09-22,2025-09-28,7,Emma,63,Female,Canadian,Guesthouse,215.87,299.88,515.75,Scooter
T00062,U0011,"Amsterdam, Netherlands",2025-07-16,2025-07-19,4,Emma,63,Female,Canadian,Hostel,205.07,688.05,893.12,Taxi
T00063,U0011,"San Francisco, USA",2019-04-19,2019-04-25,7,Emma,63,Female,Canadian,Hotel,1497.74,1338.72,2836.46,Randonnée
T00064,U0011,"Bogotá, Colombia",2019-10-13,2019-10-19,7,Emma,63,Female,Canadian,Airbnb,554.16,691.53,1245.69,Vélo
T00065,U0011,"Copenhagen, Denmark",2023-08-27,2023-09-01,6,Emma,63,Female,Canadian,Hotel,1048.72,1096.96,2145.68,Transports Publics
T00066,U0011,"Cape Town, South Africa",2025-02-01,2025-02-04,4,Emma,63,Female,Canadian,Guesthouse,246.12,342.75,588.87,Transports Publics
T00067,U0012,"Rome, Italy",2015-03-12,2015-03-17,6,Kunle,36,Male,Nigerian,Guesthouse,355.28,592.8,948.08,Randonnée
T00068,U0012,"New York, USA",2023-07-12,2023-07-17,6,Kunle,36,Male,Nigerian,Airbnb,722.95,1079.51,1802.46,Marche
T00069,U0012,"Queenstown, New Zealand",2016-12-02,2016-12-12,11,Kunle,36,Male,Nigerian,Guesthouse,1016.35,2091.6,3107.95,4x4
T00070,U0012,"Barcelona, Spain",2015-08-04,2015-08-06,3,Kunle,36,Male,Nigerian,Airbnb,269.0,253.87,522.87,Vélo
T00071,U0012,"Nice, France",2015-11-08,2015-11-16,9,Kunle,36,Male,Nigerian,Airbnb,1359.83,1488.25,2848.08,4x4
T00072,U0012,"Banff, Canada",2021-11-27,2021-12-09,13,Kunle,36,Male,Nigerian,Guesthouse,1061.06,2366.42,3427.48,Bus
T00073,U0013,"Sydney, Australia",2020-12-01,2020-12-06,6,Priya,67,Female,Indian,Guesthouse,549.28,1013.35,1562.63,Tuk-Tuk
T00074,U0013,"Shanghai, China",2023-01-17,2023-01-23,7,Priya,67,Female,Indian,Hotel,925.56,578.24,1503.8,Taxi
T00075,U0013,"Lisbon, Portugal",2023-10-26,2023-10-30,5,Priya,67,Female,Indian,Hotel,558.93,450.95,1009.88,Tuk-Tuk
T00076,U0013,"Mexico City, Mexico",2020-04-19,2020-04-23,5,Priya,67,Female,Indian,Hotel,536.94,452.24,989.18,Transports Publics
T00077,U0013,"Bogotá, Colombia",2015-10-09,2015-10-12,4,Priya,67,Female,Indian,Hostel,150.25,363.01,513.26,Voiture
T00078,U0013,"Venice, Italy",2021-07-17,2021-07-22,6,Priya,67,Female,Indian,Hotel,1055.42,977.42,2032.84,Tuk-Tuk
T00079,U0013,"London, UK",2025-03-18,2025-03-23,6,Priya,67,Female,Indian,Hotel,1285.55,1124.0,2409.55,Métro
T00080,U0014,"Oslo, Norway",2020-10-19,2020-10-24,6,Maha,28,Female,Saudi,Hotel,1117.58,1100.35,2217.93,Transports Publics
T00081,U0014,"Edinburgh, UK",2019-01-14,2019-01-17,4,Maha,28,Female,Saudi,Hotel,417.9,355.3,773.2,Bus
T00082,U0014,"Hokkaido, Japan",2020-04-01,2020-04-08,8,Maha,28,Female,Saudi,Hotel,839.06,725.16,1564.22,Taxi
T00083,U0014,"Zermatt, Switzerland",2020-07-19,2020-07-30,12,Maha,28,Female,Saudi,Hotel,2151.86,2337.26,4489.12,Marche
T00084,U0014,"Galapagos Islands, Ecuador",2025-01-06,2025-01-18,13,Maha,28,Female,Saudi,Camping,469.73,2327.38,2797.11,Bus
T00085,U0014,"Copenhagen, Denmark",2024-04-22,2024-04-24,3,Maha,28,Female,Saudi,Hotel,577.23,486.77,1064.0,Bus
T00086,U0014,"Oslo, Norway",2017-07-16,2017-07-19,4,Maha,28,Female,Saudi,Hotel,740.67,754.27,1494.94,Bus
T00087,U0014,"Copenhagen, Denmark",2019-01-05,2019-01-08,4,Maha,28,Female,Saudi,Hotel,772.22,765.5,1537.72,Transports Publics
T00088,U0015,"Hokkaido, Japan",2018-08-02,2018-08-09,8,Seo-Yeon,48,Female,South Korean,Hostel,267.06,760.5,1027.56,Scooter
T00089,U0015,"Queenstown, New Zealand",2023-02-03,2023-02-13,11,Seo-Yeon,48,Female,South Korean,Hostel,533.36,1873.4,2406.76,Transports Publics
T00090,U0015,"Edinburgh, UK",2024-07-03,2024-07-07,5,Seo-Yeon,48,Female,South Korean,Hostel,150.69,491.98,642.67,Marche
T00091,U0015,"Patagonia, Argentina",2020-12-01,2020-12-15,15,Seo-Yeon,48,Female,South Korean,Hostel,502.76,1344.97,1847.73,Vélo
T00092,U0015,"Oslo, Norway",2020-09-23,2020-09-28,6,Seo-Yeon,48,Female,South Korean,Hostel,347.49,973.28,1320.77,Scooter
T00093,U0016,"Hokkaido, Japan",2023-06-10,2023-06-16,7,Olu,18,Male,Nigerian,Hotel,729.7,689.34,1419.04,Taxi
T00094,U0016,"Copenhagen, Denmark",2023-05-26,2023-05-31,6,Olu,18,Male,Nigerian,Hotel,1230.99,1120.02,2351.01,Taxi
T00095,U0016,"St Petersburg, Russia",2017-11-14,2017-11-18,5,Olu,18,Male,Nigerian,Airbnb,451.61,476.97,928.58,Voiture
T00096,U0016,"Geneva, Switzerland",2017-05-08,2017-05-14,7,Olu,18,Male,Nigerian,Hotel,1514.57,1289.98,2804.55,Voiture (si isolé)
T00097,U0016,"St Petersburg, Russia",2025-05-03,2025-05-05,3,Olu,18,Male,Nigerian,Guesthouse,183.04,254.2,437.24,Taxi
T00098,U0016,"Galapagos Islands, Ecuador",2025-07-27,2025-08-07,12,Olu,18,Male,Nigerian,Hotel,2717.81,2030.24,4748.05,Scooter
T00099,U0016,"Reykjavik, Iceland",2017-01-21,2017-01-28,8,Olu,18,Male,Nigerian,Hotel,1668.86,1544.52,3213.38,Voiture (si isolé)
T00100,U0017,"Seoul, South Korea",2017-10-05,2017-10-07,3,Beatrice,61,Female,Italian,Hostel,166.19,592.14,758.33,Scooter
T00101,U0017,"San Diego, USA",2023-12-09,2023-12-13,5,Beatrice,61,Female,Italian,Hotel,1107.0,938.57,2045.57,Tuk-Tuk
T00102,U0017,"New York, USA",2021-10-22,2021-10-25,4,Beatrice,61,Female,Italian,Hostel,237.21,718.02,955.23,Métro
T00103,U0017,"Copenhagen, Denmark",2019-01-24,2019-01-29,6,Beatrice,61,Female,Italian,Hotel,1259.75,1036.44,2296.19,Métro
T00104,U0017,"Melbourne, Australia",2017-11-11,2017-11-16,6,Beatrice,61,Female,Italian,Guesthouse,525.16,1186.56,1711.72,Taxi
T00105,U0017,"Sydney, Australia",2018-08-02,2018-08-08,7,Beatrice,61,Female,Italian,Hotel,1394.32,1323.85,2718.17,Tuk-Tuk
T00106,U0017,"Cusco, Peru",2015-10-20,2015-10-28,9,Beatrice,61,Female,Italian,Hotel,1048.1,759.29,1807.39,Scooter
T00107,U0017,"Venice, Italy",2016-11-17,2016-11-23,7,Beatrice,61,Female,Italian,Airbnb,1080.99,1148.06,2229.05,Transports Publics
T00108,U0017,"Kyoto, Japan",2015-01-20,2015-01-30,11,Beatrice,61,Female,Italian,Hostel,366.97,1022.31,1389.28,Randonnée
T00109,U0018,"Himeji, Japan",2018-06-24,2018-07-05,12,Sultan,69,Male,Saudi,Airbnb,1055.92,1061.83,2117.75,Tuk-Tuk
T00110,U0018,"Kyoto, Japan",2023-08-03,2023-08-16,14,Sultan,69,Male,Saudi,Airbnb,1357.37,1289.04,2646.41,Métro
T00111,U0018,"New York, USA",2019-09-24,2019-09-30,7,Sultan,69,Male,Saudi,Airbnb,1096.88,1218.99,2315.87,Marche
T00112,U0018,"Sydney, Australia",2015-01-24,2015-01-30,7,Sultan,69,Male,Saudi,Airbnb,965.83,1200.77,2166.6,Marche
T00113,U0018,"Budapest, Hungary",2022-06-02,2022-06-08,7,Sultan,69,Male,Saudi,Airbnb,354.1,316.38,670.48,Marche
T00114,U0018,"Fiji, Fiji",2019-06-26,2019-07-02,7,Sultan,69,Male,Saudi,Guesthouse,435.17,595.5,1030.67,Métro
T00115,U0019,"Seoul, South Korea",2018-02-08,2018-02-14,7,Klaus,21,Male,German,Airbnb,949.75,1335.58,2285.33,Bateau
T00116,U0019,"Budapest, Hungary",2017-02-05,2017-02-09,5,Klaus,21,Male,German,Hotel,384.37,238.47,622.84,Voiture (si isolé)
T00117,U0019,"New York, USA",2025-03-09,2025-03-13,5,Klaus,21,Male,German,Airbnb,599.84,942.86,1542.7,Bateau
T00118,U0019,"Shanghai, China",2016-03-10,2016-03-12,3,Klaus,21,Male,German,Hotel,329.39,248.06,577.45,Bus
T00119,U0019,"Barcelona, Spain",2020-03-14,2020-03-16,3,Klaus,21,Male,German,Guesthouse,147.82,265.21,413.03,Voiture (si isolé)
T00120,U0019,"Toronto, Canada",2021-04-20,2021-04-25,6,Klaus,21,Male,German,Hostel,193.15,505.11,698.26,Tuk-Tuk
T00121,U0019,"Buenos Aires, Argentina",2022-06-13,2022-06-19,7,Klaus,21,Male,German,Hotel,920.38,621.07,1541.45,Bus
T00122,U0020,"Hoi An, Vietnam",2023-12-20,2023-12-27,8,Leon,62,Male,German,Guesthouse,213.64,324.25,537.89,Marche
T00123,U0020,"Miami, USA",2017-04-22,2017-04-30,9,Leon,62,Male,German,Guesthouse,757.97,1631.42,2389.39,Bus
T00124,U0020,"Toronto, Canada",2016-10-18,2016-10-20,3,Leon,62,Male,German,Guesthouse,152.56,243.54,396.1,Vélo
T00125,U0020,"Ubud, Indonesia",2015-02-24,2015-03-09,14,Leon,62,Male,German,Guesthouse,776.56,1198.06,1974.62,Vélo
T00126,U0020,"Hoi An, Vietnam",2023-06-26,2023-07-05,10,Leon,62,Male,German,Hostel,228.3,415.08,643.38,Vélo
T00127,U0020,"Kyoto, Japan",2018-01-19,2018-01-25,7,Leon,62,Male,German,Hotel,802.28,602.98,1405.26,Vélo
T00128,U0021,"Himeji, Japan",2016-01-02,2016-01-12,11,Nkosi,29,Male,South African,Airbnb,945.29,928.95,1874.24,Randonnée
T00129,U0021,"Auckland, New Zealand",2019-08-03,2019-08-09,7,Nkosi,29,Male,South African,Airbnb,596.44,606.45,1202.89,Transports Publics
T00130,U0021,"Boston, USA",2015-03-16,2015-03-19,4,Nkosi,29,Male,South African,Airbnb,637.04,656.79,1293.83,Randonnée
T00131,U0021,"Bali, Indonesia",2017-11-11,2017-11-15,5,Nkosi,29,Male,South African,Hotel,565.39,417.2,982.59,Scooter
T00132,U0021,"Kyoto, Japan",2015-01-03,2015-01-12,10,Nkosi,29,Male,South African,Airbnb,810.57,816.62,1627.19,Bus
T00133,U0021,"Paris, France",2015-12-23,2015-12-25,3,Nkosi,29,Male,South African,Airbnb,441.62,563.64,1005.26,Randonnée
T00134,U0021,"New York, USA",2016-12-06,2016-12-09,4,Nkosi,29,Male,South African,Airbnb,523.74,659.6,1183.34,Randonnée
T00135,U0021,"Venice, Italy",2025-02-25,2025-03-03,7,Nkosi,29,Male,South African,Airbnb,1059.89,1161.18,2221.07,Randonnée
T00136,U0021,"Venice, Italy",2019-03-15,2019-03-17,3,Nkosi,29,Male,South African,Airbnb,441.75,521.06,962.81,Métro
T00137,U0022,"San Francisco, USA",2018-03-15,2018-03-18,4,Isabella,58,Female,Colombian,Hotel,917.91,778.22,1696.13,Transports Publics
T00138,U0022,"San Diego, USA",2025-09-09,2025-09-11,3,Isabella,58,Female,Colombian,Hotel,524.39,540.54,1064.93,Bateau
T00139,U0022,"Paris, France",2022-03-24,2022-03-27,4,Isabella,58,Female,Colombian,Hotel,808.59,715.24,1523.83,Taxi
T00140,U0022,"Patagonia, Argentina",2018-02-05,2018-02-15,11,Isabella,58,Female,Colombian,Hotel,1262.9,931.14,2194.04,4x4
T00141,U0022,"London, UK",2022-02-02,2022-02-06,5,Isabella,58,Female,Colombian,Hotel,1089.07,916.48,2005.55,Bus
T00142,U0023,"Cusco, Peru",2024-12-27,2025-01-03,8,Sara,51,Female,Egyptian,Airbnb,584.21,699.14,1283.35,Tuk-Tuk
T00143,U0023,"Paris, France",2018-01-04,2018-01-07,4,Sara,51,Female,Egyptian,Hostel,248.11,731.06,979.17,Transports Publics
T00144,U0023,"Vancouver, Canada",2023-08-19,2023-08-22,4,Sara,51,Female,Egyptian,Guesthouse,392.59,704.12,1096.71,4x4
T00145,U0023,"Seoul, South Korea",2021-09-12,2021-09-17,6,Sara,51,Female,Egyptian,Hostel,319.55,1027.76,1347.31,Vélo
T00146,U0024,"Patagonia, Argentina",2016-08-09,2016-08-23,15,Seo-Jun,68,Male,South Korean,Guesthouse,768.4,1410.81,2179.21,Bateau
T00147,U0024,"Patagonia, Argentina",2024-08-26,2024-09-08,14,Seo-Jun,68,Male,South Korean,Guesthouse,788.86,1274.99,2063.85,Scooter
T00148,U0024,"Queenstown, New Zealand",2015-02-04,2015-02-10,7,Seo-Jun,68,Male,South Korean,Guesthouse,592.05,1263.19,1855.24,4x4
T00149,U0024,"Hokkaido, Japan",2018-10-19,2018-10-27,9,Seo-Jun,68,Male,South Korean,Hostel,344.41,881.5,1225.91,Marche
T00150,U0024,"San Diego, USA",2025-02-07,2025-02-13,7,Seo-Jun,68,Male,South Korean,Guesthouse,675.13,1320.15,1995.28,Métro
T00151,U0024,"New York, USA",2022-06-02,2022-06-07,6,Seo-Jun,68,Male,South Korean,Guesthouse,505.86,1115.22,1621.08,Bateau
T00152,U0024,"Reykjavik, Iceland",2024-02-04,2024-02-16,13,Seo-Jun,68,Male,South Korean,Guesthouse,1321.18,2118.55,3439.73,Métro
T00153,U0024,"London, UK",2015-12-22,2015-12-25,4,Seo-Jun,68,Male,South Korean,Guesthouse,382.01,724.14,1106.15,Bateau
T00154,U0025,"Seoul, South Korea",2016-06-06,2016-06-12,7,Gabriel,18,Male,Colombian,Hostel,368.42,1272.57,1640.99,4x4
T00155,U0025,"Amsterdam, Netherlands",2023-09-09,2023-09-11,3,Gabriel,18,Male,Colombian,Hostel,149.3,589.3,738.6,Transports Publics
T00156,U0026,"Patagonia, Argentina",2015-08-09,2015-08-15,7,Zainab,40,Female,Nigerian,Airbnb,583.0,603.83,1186.83,Voiture
T00157,U0026,"Geneva, Switzerland",2023-02-16,2023-02-21,6,Zainab,40,Female,Nigerian,Airbnb,902.59,998.32,1900.91,4x4
T00158,U0026,"Reykjavik, Iceland",2020-04-15,2020-04-29,15,Zainab,40,Female,Nigerian,Hotel,3155.04,2455.49,5610.53,4x4
T00159,U0026,"Galapagos Islands, Ecuador",2016-02-21,2016-02-27,7,Zainab,40,Female,Nigerian,Hotel,1321.05,1311.32,2632.37,Tuk-Tuk
T00160,U0026,"Ho Chi Minh City, Vietnam",2021-08-14,2021-08-18,5,Zainab,40,Female,Nigerian,Hotel,337.01,247.31,584.32,Vélo
T00161,U0026,"Oslo, Norway",2017-01-07,2017-01-12,6,Zainab,40,Female,Nigerian,Hostel,347.25,1119.63,1466.88,Bateau
T00162,U0026,"Copenhagen, Denmark",2022-09-06,2022-09-09,4,Zainab,40,Female,Nigerian,Hotel,821.28,715.67,1536.95,Scooter
T00163,U0026,"Copenhagen, Denmark",2016-05-01,2016-05-04,4,Zainab,40,Female,Nigerian,Hotel,846.27,671.02,1517.29,Bateau
T00164,U0026,"Stockholm, Sweden",2018-10-25,2018-10-31,7,Zainab,40,Female,Nigerian,Hostel,372.56,1247.78,1620.34,Randonnée
T00165,U0027,"New York, USA",2015-02-14,2015-02-17,4,Funke,39,Female,Nigerian,Airbnb,608.63,679.75,1288.38,Vélo
T00166,U0027,"Shanghai, China",2019-06-22,2019-06-26,5,Funke,39,Female,Nigerian,Airbnb,457.99,476.18,934.17,Bus
T00167,U0027,"Amsterdam, Netherlands",2016-02-03,2016-02-09,7,Funke,39,Female,Nigerian,Airbnb,1124.03,1247.73,2371.76,Bus
T00168,U0027,"Malé, Maldives",2024-05-26,2024-06-06,12,Funke,39,Female,Nigerian,Airbnb,1766.69,2198.07,3964.76,Bus
T00169,U0027,"Cape Town, South Africa",2022-04-19,2022-04-23,5,Funke,39,Female,Nigerian,Airbnb,382.02,468.24,850.26,Bus
T00170,U0027,"Vienna, Austria",2021-12-04,2021-12-08,5,Funke,39,Female,Nigerian,Airbnb,468.38,482.86,951.24,Bus
T00171,U0028,"Chiang Mai, Thailand",2017-12-24,2017-12-31,8,Zainab,22,Female,Nigerian,Airbnb,396.35,372.22,768.57,Bus
T00172,U0028,"Los Angeles, USA",2019-01-24,2019-01-26,3,Zainab,22,Female,Nigerian,Guesthouse,257.73,547.74,805.47,Voiture
T00173,U0028,"Shanghai, China",2018-07-08,2018-07-12,5,Zainab,22,Female,Nigerian,Airbnb,466.56,424.61,891.17,Vélo
T00174,U0028,"Geneva, Switzerland",2016-09-03,2016-09-08,6,Zainab,22,Female,Nigerian,Airbnb,945.33,1073.52,2018.85,Marche
T00175,U0028,"Paris, France",2022-05-23,2022-05-29,7,Zainab,22,Female,Nigerian,Airbnb,862.74,1379.13,2241.87,Bus
T00176,U0028,"Amsterdam, Netherlands",2016-08-20,2016-08-26,7,Zainab,22,Female,Nigerian,Airbnb,869.92,1373.07,2242.99,Tuk-Tuk
T00177,U0028,"Pékin, China",2019-05-26,2019-06-01,7,Zainab,22,Female,Nigerian,Airbnb,520.55,591.28,1111.83,Métro
T00178,U0028,"Bogotá, Colombia",2022-10-26,2022-10-28,3,Zainab,22,Female,Nigerian,Airbnb,217.0,293.7,510.7,Tuk-Tuk
T00179,U0029,"Cartagena, Colombia",2019-12-01,2019-12-11,11,Mikhail,19,Male,Russian,Guesthouse,634.12,925.26,1559.38,Bus
T00180,U0029,"Reykjavik, Iceland",2019-06-02,2019-06-15,14,Mikhail,19,Male,Russian,Hostel,832.33,2328.01,3160.34,Marche
T00181,U0029,"Chiang Mai, Thailand",2017-10-11,2017-10-18,8,Mikhail,19,Male,Russian,Hostel,166.04,355.56,521.6,Marche
T00182,U0029,"Giza, Egypt",2025-05-14,2025-05-23,10,Mikhail,19,Male,Russian,Hostel,210.61,473.41,684.02,Bus
T00183,U0029,"Himeji, Japan",2023-01-20,2023-01-29,10,Mikhail,19,Male,Russian,Hotel,1298.09,899.87,2197.96,Vélo
T00184,U0030,"Geneva, Switzerland",2023-07-24,2023-07-28,5,James,48,Male,American,Hostel,257.61,935.18,1192.79,Voiture (si isolé)
T00185,U0030,"Kruger NP, South Africa",2023-06-09,2023-06-17,9,James,48,Male,American,Hostel,529.74,1770.15,2299.89,Métro
